CREA-BA - Conselho Regional de Engenharia e Agronomia da Bahia,,,,,
SITAC - Sistema de Informações Técnicas e Administrativas do CREA-BA,,,,,
,,,,,
Relatório Gerencial:,RELATÓRIO GENÉRICO,,,,
Grupo:,RELATÓRIOS,,,,
Descrição:,,,,,
,,,,,
Data/Hora:,06/08/2025 às 16:08:18,,,,
Local:,SEDE - SALVADOR - CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA,,,,
,,,,,
NOME,CAMPUS,CNPJ,CÓDIGO MEC,CÓDIGO REGIONAL,TIPO DE CATEGORIA ACADÊMICA
83862013 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DA REGIÃO METROPOLITANA,CAMAÇARI,13937065000100,83862013,,PÚBLICA
4282 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DA RMS,CETEP-RMS,13937065000100,4282,,PÚBLICA
29475082 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DE DIAS D’ÁVILA,"CETEP - DIAS D""ÁVILA",30901200000137,29475082,,PÚBLICA
CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DE ITAPARICA,CETEP ITAPARICA,01999081000148,,,PÚBLICA
CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DO BAIXO SUL,CETEP,02021953000161,,,
20207 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DO EXTREMO SUL,CETEPES,04663655000109,20207,,PÚBLICA
500041636 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DO LITORAL NORTE E AGRESTE BAIANO,,,500041636,,
CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DO LITORAL SUL,,01971440000159,,,
CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DO MÉDIO RIO DAS CONTAS,,,,,
CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DO MEDIO SUDOESTE DA BAHIA,CETEP ITORORO,,,,
